month,num_orders,revenue
2017-01,5135,1194364.76
2017-02,2274,623896.3
2017-03,202,115937.31
2017-04,1632,486962.21
2017-05,1893,646147.86
2017-06,1607,690049.94
2017-07,3443,1127176.79
2017-08,2350,722055.8099999999
2017-09,2183,861186.73
2017-10,3136,1087801.23
2017-11,7189,2949497.1
2017-12,5508,1897518.73
2018-01,5203,1960899.26
2018-02,3335,1069712.71
2018-03,1515,476872.5
